| time |        in        |       out        | address |
| 0+   | 0000000000000000 | 0000000000000000 |  00000  |
| 1    | 0100000000000001 | 0000000000000000 |  00000  |
| 1+   | 0100000000000001 | 0000000000000000 |  00000  |
| 2    | 0100000000000001 | 0000000000000000 |  00000  |
| 2+   | 0000000000000000 | 0100000000000001 |  00000  |
| 3    | 0000000000000000 | 0000000000000000 |  01000  |
| 3+   | 0110000000001011 | 0000000000000000 |  01000  |
| 4    | 0110000000001011 | 0000000000000000 |  00000  |
| 4+   | 0000000000001011 | 0000000000000000 |  00000  |
| 5    | 0000000000001011 | 0100000000000000 |  01100  |
| 5+   | 0000000000001011 | 0100000000000000 |  01100  |
| 6    | 0000000000001011 | 0000000000000000 |  00000  |
| 6+   | 0000000000001011 | 0000000000000000 |  00000  |
| 7    | 0000000000001011 | 0110000000000000 |  00000  |
