| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |   1313 |  0  |    0  |      0 |
| 3    |   1313 |  0  |    0  |      0 |
| 3+   |   1313 |  1  |   13  |      0 |
| 4    |   1313 |  1  |   13  |   1313 |
| 4+   |   1313 |  0  |    0  |      0 |
| 5    |   1313 |  0  |    0  |      0 |
| 5+   |      0 |  0  |    0  |      0 |
| 6    |      0 |  0  |    0  |      0 |
| 6+   |      0 |  1  |    0  |      0 |
| 7    |      0 |  1  |    0  |      0 |
| 7+   |  11111 |  0  |    0  |      0 |
| 8    |  11111 |  0  |    0  |      0 |
| 8+   |  11111 |  1  |    1  |      0 |
| 9    |  11111 |  1  |    1  |  11111 |
| 9+   |  11111 |  0  |    0  |      0 |
| 10   |  11111 |  0  |    0  |      0 |
| 10+  |   3333 |  0  |    3  |      0 |
| 11   |   3333 |  0  |    3  |      0 |
| 11+  |   3333 |  1  |    3  |      0 |
| 12   |   3333 |  1  |    3  |   3333 |
| 12+  |   3333 |  0  |    3  |   3333 |
| 13   |   3333 |  0  |    3  |   3333 |
| 13   |   3333 |  0  |    1  |  11111 |
| 13+  |   7777 |  0  |    1  |  11111 |
| 14   |   7777 |  0  |    1  |  11111 |
| 14+  |   7777 |  1  |    7  |      0 |
| 15   |   7777 |  1  |    7  |   7777 |
